ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000001.SZ,20160621,901.9664,906.1567,898.8236,901.9664,900.9188,1.0475999999999885,0.1163,380749.85,327940.7034
000001.SZ,20160622,900.9188,914.5373,898.8236,914.5373,901.9664,12.570899999999938,1.3937,478002.01,413947.3686
000001.SZ,20160623,908.2519,911.3946,904.0615,907.2043,914.5373,-7.33299999999997,-0.8018,335614.22,290490.407
000001.SZ,20160624,905.1091,911.3946,892.5382,897.7761,907.2043,-9.428199999999947,-1.0393,427664.09,367771.0539
000001.SZ,20160627,897.7761,905.1091,894.6333,901.9664,897.7761,4.190299999999979,0.4667,325214.18,280044.0732
000001.SZ,20160628,898.8236,905.1091,896.7285,904.0615,901.9664,2.095100000000002,0.2323,336519.28,289122.214
000001.SZ,20160629,904.0615,910.347,903.014,910.347,904.0615,6.285499999999956,0.6953,369611.56,319908.6896
000001.SZ,20160630,910.347,915.5849,907.2043,911.3946,910.347,1.0475999999999885,0.1151,362204.87,315051.8547
000001.SZ,20160701,910.347,914.5373,909.2994,912.4422,911.3946,1.0475999999999885,0.1149,348930.19,303652.3753
000001.SZ,20160704,910.347,928.1559,908.2519,922.918,912.4422,10.47580000000005,1.1481,608257.12,534656.9096
000001.SZ,20160705,921.8704,925.0131,918.7277,922.918,922.918,0.0,0.0,422037.29,371422.8148
000001.SZ,20160706,921.8704,923.9656,917.6801,920.8228,922.918,-2.095199999999977,-0.227,322950.17,283827.3758
000001.SZ,20160707,920.8228,921.8704,915.5849,919.7752,920.8228,-1.0475999999999885,-0.1138,312853.08,274337.1858
000001.SZ,20160708,920.8228,920.8228,914.5373,915.5849,919.7752,-4.190300000000093,-0.4556,261342.29,228778.6741
000001.SZ,20160711,916.6325,920.8228,915.5849,916.6325,915.5849,1.0476000000001022,0.1144,365372.52,320333.7607
000001.SZ,20160712,916.6325,931.2986,915.5849,930.251,916.6325,13.618499999999926,1.4857,711832.4,627505.5784
000001.SZ,20160713,930.251,948.0599,928.1559,941.7744,930.251,11.523400000000038,1.2387,798288.64,716797.0253
000001.SZ,20160714,939.6793,942.822,933.3938,936.5365,941.7744,-5.237899999999968,-0.5562,359699.39,321889.3433
000001.SZ,20160715,937.5841,942.822,933.3938,941.7744,936.5365,5.237899999999968,0.5593,352033.95,315555.2535
000001.SZ,20160718,941.7744,951.2026,939.6793,947.0123,941.7744,5.237899999999968,0.5562,506934.92,457358.0314
000001.SZ,20160719,947.0123,948.0599,937.5841,939.6793,947.0123,-7.33299999999997,-0.7743,362787.81,326046.531
000001.SZ,20160720,938.6317,941.7744,937.5841,938.6317,939.6793,-1.0475999999999885,-0.1115,310926.41,278737.1941
000001.SZ,20160721,937.5841,943.8696,937.5841,941.7744,938.6317,3.1426999999999907,0.3348,340261.27,305710.3328
